,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
136,1945-07-06,46.68774509803922,24.232843137254903,30.61720430107527,0.20258064516129032,0.16358064516129028,49.0,0.0
137,1945-07-07,48.55441176470588,26.132843137254902,32.417204301075266,0.21451612903225808,0.15451612903225803,49.0,0.0
138,1945-07-08,49.654411764705884,27.59950980392157,34.08387096774194,0.22645161290322585,0.14545161290322578,49.0,0.0
139,1945-07-09,50.28774509803922,28.932843137254903,35.31720430107527,0.23838709677419356,0.13638709677419353,49.0,0.0
140,1945-07-10,50.88774509803922,29.866176470588236,36.21720430107527,0.25032258064516133,0.12732258064516128,49.0,0.04
141,1945-07-11,51.721078431372554,30.99950980392157,37.28387096774193,0.26225806451612904,0.118258064516129,49.0,0.0
142,1945-07-12,52.58774509803922,32.2328431372549,38.31720430107527,0.2741935483870968,0.10919354838709672,48.0,0.0
143,1945-07-13,54.08774509803922,33.49950980392157,39.6505376344086,0.2861290322580645,0.10012903225806447,47.0,0.0
144,1945-07-14,55.48774509803922,35.4328431372549,41.18387096774193,0.2980645161290323,0.09106451612903221,43.0,0.0
145,1945-07-15,57.08774509803922,36.89950980392157,43.11720430107527,0.31,0.08199999999999999,33.0,0.01
146,1945-07-16,58.68774509803922,38.66617647058823,44.6505376344086,0.2803225806451613,0.08277419354838708,28.0,0.0
147,1945-07-17,60.58774509803922,40.5328431372549,46.71720430107527,0.2506451612903226,0.08354838709677419,25.0,0.0
148,1945-07-18,61.92107843137255,41.96617647058824,48.68387096774193,0.22096774193548388,0.08432258064516128,25.0,0.01
149,1945-07-19,62.98774509803922,43.59950980392157,50.2505376344086,0.19129032258064516,0.08509677419354837,25.0,0.0
150,1945-07-20,64.12107843137255,44.99950980392157,51.5505376344086,0.16161290322580646,0.08587096774193548,25.0,0.0
151,1945-07-21,65.55441176470589,46.69950980392157,52.983870967741936,0.13193548387096776,0.08664516129032257,25.0,0.01
152,1945-07-22,66.68774509803922,47.99950980392157,54.71720430107527,0.10225806451612904,0.08741935483870966,23.0,0.01
153,1945-07-23,67.85441176470589,48.96617647058824,56.61720430107527,0.07258064516129034,0.08819354838709677,16.0,0.07
154,1945-07-24,69.85441176470589,50.56617647058824,58.383870967741935,0.04290322580645162,0.08896774193548386,16.0,0.0
155,1945-07-25,70.78774509803922,52.366176470588236,59.8505376344086,0.01322580645161292,0.08974193548387097,12.0,0.0
156,1945-07-26,72.42107843137255,54.16617647058823,61.950537634408605,-0.016451612903225776,0.09051612903225806,7.0,0.0
157,1945-07-27,74.4,55.43333333333333,63.53333333333333,-0.04612903225806447,0.09129032258064515,0.0,0.0
158,1945-07-28,76.16666666666667,57.1,65.33333333333333,-0.07580645161290317,0.09206451612903226,0.0,0.0
159,1945-07-29,77.6,58.8,67.26666666666667,-0.10548387096774192,0.09283870967741935,0.0,0.0
160,1945-07-30,78.7,60.1,68.76666666666667,-0.13516129032258062,0.09361290322580644,0.0,0.01
161,1945-07-31,79.2,60.333333333333336,68.9,-0.16483870967741932,0.09438709677419355,0.0,0.0
162,1945-08-01,79.5,60.46666666666667,69.23333333333333,-0.19451612903225807,0.09516129032258064,0.0,0.2
163,1945-08-02,79.6,60.733333333333334,69.33333333333333,-0.22419354838709676,0.09593548387096773,0.0,0.0
164,1945-08-03,79.56666666666666,60.36666666666667,69.36666666666666,-0.25387096774193546,0.09670967741935484,0.0,0.0
165,1945-08-04,79.1,59.93333333333333,69.3,-0.28354838709677416,0.09748387096774193,0.0,0.85
166,1945-08-05,78.66666666666667,59.3,68.86666666666666,-0.31322580645161285,0.09825806451612903,0.0,0.48
167,1945-08-06,78.26666666666667,59.0,68.7,-0.34290322580645155,0.09903225806451613,0.0,0.0
168,1945-08-07,78.06666666666666,58.56666666666667,68.33333333333333,-0.37258064516129025,0.09980645161290322,0.0,0.13
169,1945-08-08,78.26666666666667,58.2,68.53333333333333,-0.40225806451612894,0.10058064516129031,0.0,0.47
170,1945-08-09,78.53333333333333,57.96666666666667,68.73333333333333,-0.43193548387096764,0.10135483870967742,0.0,0.63
171,1945-08-10,78.5,57.9,68.73333333333333,-0.46161290322580634,0.10212903225806451,0.0,0.0
172,1945-08-11,78.53333333333333,57.53333333333333,68.86666666666666,-0.49129032258064514,0.10290322580645161,0.0,0.0
173,1945-08-12,78.4,57.06666666666667,68.9,-0.5209677419354839,0.1036774193548387,0.0,0.0
174,1945-08-13,78.3,56.4,68.8,-0.5506451612903225,0.1044516129032258,0.0,0.25
175,1945-08-14,77.93333333333334,56.166666666666664,68.46666666666667,-0.5803225806451613,0.10522580645161289,0.0,0.27
176,1945-08-15,77.8,55.733333333333334,68.26666666666667,-0.61,0.106,0.0,0.0
177,1945-08-16,77.66666666666667,55.233333333333334,68.03333333333333,-0.6335483870967742,0.10848387096774194,0.0,0.0
178,1945-08-17,77.5,55.13333333333333,67.83333333333333,-0.6570967741935484,0.11096774193548387,0.0,0.0
179,1945-08-18,77.46666666666667,54.86666666666667,67.7,-0.6806451612903226,0.1134516129032258,0.0,0.01
180,1945-08-19,76.86666666666666,54.3,67.2,-0.7041935483870968,0.11593548387096773,0.0,0.83
181,1945-08-20,75.96666666666667,53.46666666666667,66.56666666666666,-0.727741935483871,0.11841935483870968,0.0,0.3
182,1945-08-21,75.66666666666667,52.86666666666667,66.06666666666666,-0.7512903225806451,0.1209032258064516,0.0,0.0
183,1945-08-22,75.56666666666666,53.03333333333333,65.73333333333333,-0.7748387096774194,0.12338709677419354,0.0,0.0
184,1945-08-23,75.3,52.8,65.56666666666666,-0.7983870967741935,0.12587096774193549,0.0,0.0
185,1945-08-24,75.03333333333333,52.43333333333333,65.46666666666667,-0.8219354838709678,0.12835483870967743,0.0,0.0
186,1945-08-25,74.76666666666667,51.7,65.03333333333333,-0.8454838709677419,0.13083870967741934,0.0,0.0
187,1945-08-26,74.03333333333333,51.3,64.7,-0.8690322580645162,0.13332258064516128,0.0,0.0
188,1945-08-27,73.5,50.63333333333333,64.16666666666667,-0.8925806451612903,0.13580645161290322,0.0,0.16
189,1945-08-28,73.5,50.266666666666666,63.96666666666667,-0.9161290322580645,0.13829032258064516,0.0,0.0
190,1945-08-29,73.56666666666666,50.13333333333333,63.93333333333333,-0.9396774193548387,0.1407741935483871,0.0,0.0
191,1945-08-30,73.26666666666667,49.833333333333336,63.833333333333336,-0.9632258064516129,0.14325806451612905,0.0,0.03
192,1945-08-31,73.46666666666667,49.9,63.9,-0.9867741935483871,0.14574193548387096,0.0,0.0
193,1945-11-01,72.1287356321839,48.5632183908046,62.56163522012579,-1.0103225806451612,0.1482258064516129,6.0,1.75
194,1945-11-02,70.91149425287357,47.492528735632185,61.30346528548526,-1.0338709677419355,0.15070967741935484,9.0,1.0
195,1945-11-03,69.91704980842911,46.50030651340997,60.08167041369039,-1.0574193548387099,0.15319354838709678,9.2,0.2
196,1945-11-04,69.01759625651654,45.65112618554111,59.207952464972436,-1.080967741935484,0.1556774193548387,9.2,0.0
197,1945-11-05,67.90759625651654,44.55223729665222,57.94716815124695,-1.104516129032258,0.15816129032258064,9.2,0.0
198,1945-11-06,67.00377111990451,43.75606243326424,57.060629689708485,-1.1280645161290324,0.16064516129032258,9.2,0.0
199,1945-11-07,64.97043778657118,42.68939576659758,55.32729635637516,-1.1516129032258067,0.16312903225806452,22.299999999999997,1.23
200,1945-11-08,63.07043778657118,41.42272909993091,53.46062968970849,-1.1751612903225808,0.16561290322580646,31.299999999999997,1.19
201,1945-11-09,61.037104453237845,39.82272909993091,51.727296356375156,-1.1987096774193549,0.1680967741935484,33.4,0.21
202,1945-11-10,59.50377111990451,38.489395766597575,50.160629689708486,-1.222258064516129,0.17058064516129032,38.3,0.53
203,1945-11-11,58.00377111990451,37.42272909993091,48.52729635637515,-1.2458064516129033,0.17306451612903226,45.5,0.38
204,1945-11-12,56.37043778657118,36.38939576659757,46.96062968970849,-1.2693548387096776,0.1755483870967742,57.0,0.6
205,1945-11-13,54.73710445323785,35.25606243326424,45.36062968970849,-1.2929032258064517,0.1780322580645161,68.0,0.75
206,1945-11-14,53.30377111990451,33.95606243326424,44.32729635637516,-1.3164516129032258,0.18051612903225805,68.0,0.0
207,1945-11-15,52.40377111990451,33.25606243326424,43.26062968970849,-1.34,0.183,69.0,0.1
208,1945-11-16,51.037104453237845,32.32272909993091,41.82729635637516,-1.3616666666666668,0.18146666666666667,80.0,1.12
209,1945-11-17,49.57043778657118,31.289395766597575,40.46062968970849,-1.3833333333333333,0.17993333333333333,84.5,0.22
210,1945-11-18,48.30377111990451,29.989395766597575,38.92729635637515,-1.405,0.1784,88.0,0.24
211,1945-11-19,47.23710445323785,28.822729099930907,37.89396302304182,-1.4266666666666667,0.17686666666666667,88.0,0.0
212,1945-11-20,45.80377111990451,27.72272909993091,36.193963023041825,-1.4483333333333335,0.17533333333333334,101.0,1.1
213,1945-11-21,43.80377111990451,26.122729099930908,34.36062968970849,-1.47,0.17379999999999998,101.0,0.0
214,1945-11-22,42.103771119904515,24.489395766597575,32.92729635637515,-1.4916666666666667,0.17226666666666665,101.0,0.0
